Class Name,Scientific Name,Botanical Family,Genus & Species,Local/Vernacular Names,Leaf Morphology,Plant Habit,Life Span,Geographical Origin,Native Habitat,Global Distribution,Preferred Soil Type,Climate Requirements,Primary Active Compounds,Secondary Metabolites,Essential Oils,Nutritional Profile,Therapeutic Properties,Traditional Uses,Modern Clinical Uses,Medicinal Part Used,Standard Dosage,Internal Preparation Method,External Application Method,Culinary Uses,Extraction Process,Toxicity Levels,Contraindications,Pregnancy & Lactation Safety,Drug-Herb Interactions,Conservation Status
1_1_thankuni,Centella asiatica,Apiaceae,Centella / asiatica,"Bengali: Thankuni; English: Indian Pennywort, Gotu Kola; Hindi: Brahmi","Orbicular-reniform, 3-5cm across, crenate or sub-entire margins, glabrous, radiating nerves",Herb,Perennial,Indian Subcontinent,"Tropical wetlands, marshy areas, tropical forests","India, Bangladesh, Sri Lanka, Southeast Asia, Africa","Loamy, well-drained, moist soil","Tropical, 20-30°C, high humidity, 1500-2500mm rainfall annually","Asiaticoside, madecassoside, asiatic acid, madecassic acid","Flavonoids, phenolic acids, triterpenes, alkaloids",Trace amounts of volatile oils,"Vitamin C, iron, potassium, calcium, magnesium, amino acids","Cognitive enhancement, wound healing, anti-inflammatory, antioxidant, anxiolytic","Ayurvedic brain tonic, memory enhancement, skin conditions, fever","Treatment of cognitive disorders, varicose veins, cellulite, anxiety management","Whole aerial part, leaves preferred","3-6g dried herb daily, or 500-1500mg extract daily","Decoction, infusion, powder capsules, standardized extract","Poultice, herbal paste, oil infusion, topical cream","Edible leaf in salads, herbal teas, smoothies, traditional curries","Aqueous extraction, alcoholic extraction (60-70% ethanol), CO2 extraction",Very low toxicity; LD50 >5000 mg/kg in animal models,"Pregnancy (large doses), lactation (caution), estrogen-sensitive tumors",Avoid high doses in pregnancy; minimal use acceptable in lactation under supervision,May enhance effect of sedatives; possible interaction with anticoagulants,"Common, IUCN: Not evaluated (widespread, cultivated)"
1_2_pathorkuchi,Bacopa monnieri,Plantaginaceae,Bacopa / monnieri,"Bengali: Pathorkuchi, Brahmi; English: Water Hyssop; Hindi: Brahmi, Jal-Brahmi","Small, obovate to spoon-shaped, 4-6mm long, succulent, opposite arrangement",Herb (semi-aquatic),Perennial,Indian Subcontinent,"Tropical wetlands, marshes, pond margins, tropical monsoon forests","India, Bangladesh, Southeast Asia, Australia","Sandy loam, well-drained moist soil, adaptable to aquatic conditions","Tropical-subtropical, 20-30°C, high humidity, 1200-2400mm rainfall","Bacosides (bacopaside I, II), bacosine, alkaloids (nicotine-like)","Flavonoids, saponins, beta-sitosterol, stigmasterol",Minimal essential oils,"Iron, potassium, calcium, magnesium, vitamins A & C","Nootropic, memory enhancer, adaptogen, anti-anxiety, antioxidant, anti-inflammatory","Ayurvedic brain tonic, nerve tonic, cooling, digestive aid, skin conditions","Cognitive enhancement, memory disorders, ADHD support, anxiety, depression",Whole aerial plant,"4-6g dried herb daily, or 300-600mg extract standardized to 55% bacosides","Decoction, infusion, aqueous extract, powder, capsules","Oil massage, herbal paste, topical application","Herbal teas, smoothies, traditional soups, limited culinary use","Aqueous extraction, 50-70% ethanol extraction, cold maceration",Very low; LD50 >3000 mg/kg,"Pregnancy (high doses avoid), thyroid disorders, GI obstructions",Avoid in first trimester; minimal therapeutic use acceptable later under guidance,"May enhance sedatives; caution with CNS depressants, anticoagulants","Common, IUCN: Not evaluated (widely cultivated, wild populations stable)"
1_3_apang,Achyranthes aspera,Amaranthaceae,Achyranthes / aspera,"Bengali: Apang, Upatlengra, Bilaykhamchi; English: Prickly Chaff Flower; Hindi: Aghada","Lanceolate to elliptic, 2-5cm long, pubescent, margin entire, opposite arrangement",Herb,Annual/Biennial,"Indian Subcontinent, Africa","Tropical dry forests, open grasslands, wastelands, disturbed areas","India, Bangladesh, tropical Africa, widespread pantropical distribution","Sandy loam, well-drained soil, tolerates poor soils","Tropical-subtropical, 15-35°C, moderate rainfall, drought tolerant (800-1500mm)","Saponins, alkaloids, essential oil, triterpenes","Flavonoids, tannins, phenols, glycosides",0.5-1% aromatic essential oil,"Calcium, iron, phosphorus, vitamin C","Diuretic, laxative, anthelmintic, anti-inflammatory, respiratory support","Ayurvedic treatment for jaundice, urinary troubles, respiratory issues","Urinary tract support, anthelmintic therapy, digestive aid, respiratory health",Leaves and roots equally important,"3-6g dried herb daily, 1-2 tbsp leaf juice, or decoction","Decoction, leaf juice, powder, infusion","Paste application, oil infusion, poultice",Minimal culinary use; traditionally added to medicinal soups,"Aqueous decoction, 50% ethanol extraction, juice extraction",Low; saponin content can cause GI irritation at very high doses,"Pregnancy (uterine stimulant), kidney disease, bleeding disorders",Avoid in pregnancy; safe in lactation at normal medicinal doses,May interact with diuretics; caution with blood thinners,"Common, IUCN: Not evaluated (abundant in native range)"
1_4_kalomegh,Andrographis paniculata,Acanthaceae,Andrographis / paniculata,"Bengali: Kalomegh, Kalomegh Pata; English: Green Chiretta, King of Bitters; Hindi: Kalmegh","Linear-lanceolate, 1-5cm long, glabrous, margin entire, opposite arrangement, acute apex",Herb (branched),Annual,Indian Subcontinent,"Tropical dry forests, cultivated fields, open grasslands","India, Bangladesh, throughout Southeast Asia, now cultivated globally","Well-drained loamy soil, slightly acidic to neutral pH","Tropical-subtropical, 20-30°C, moderate rainfall (750-2250mm), prefers dry season","Andrographolide (diterpenoid lactone), neoandrographolide, deoxyandrographolide","Flavonoids (quercetin, apigenin), tannins, alkaloids, polyphenols",Trace amounts of volatile oils,"Vitamin A, calcium, phosphorus, potassium, iron","Immunomodulating, anti-inflammatory, antimicrobial, antipyretic, hepatoprotective","Ayurvedic fever treatment, bitter tonic, liver support, digestive aid, wound healing","Cold/flu treatment, viral infections, liver detoxification, immune support",Leaves and aerial parts,"3-4g dried herb daily, or 300-400mg standardized extract (andrographolide 10%)","Decoction, infusion, powder, standardized extract, fresh juice","Paste, poultice, herbal wash",Extremely bitter; rarely used in culinary; herbal teas only,"Aqueous decoction, 60-80% ethanol extraction, water extraction preferred",Very low; LD50 >15000 mg/kg,"Pregnancy (potential uterine effects), severe diarrhea, active bleeding",Avoid in pregnancy; minimal use acceptable in lactation,May enhance anticoagulants; caution with immune-suppressing drugs,"Common, IUCN: Not evaluated (widely cultivated, wild populations declining in some areas)"
2_5_kaluchitra,Phyllanthus acidus,Phyllanthaceae,Phyllanthus / acidus,"Bengali: Kaluchitra, Potala; English: Star Gooseberry, Otaheite Gooseberry; Hindi: Ambla","Leaflets small, 0.5-1.5cm, elliptic, feathery bipinnate arrangement, bright green",Shrub/Small tree,Perennial,"Tropical Asia, Indian Subcontinent","Tropical deciduous forests, cultivated plantations, tropical wetlands","India, Bangladesh, Southeast Asia, now pan-tropical cultivation","Well-drained loamy soil, slightly acidic, fertile soil","Tropical, 20-32°C, moderate to high rainfall (1200-2400mm), humid conditions","Vitamin C (ascorbic acid), phyllanthin, hypophyllanthin, phyltetralin","Flavonoids, tannins, alkaloids, polyphenols, ellagic acid",Minimal essential oils,"Very high vitamin C (600-700mg/100g), copper, zinc, iron, magnesium, vitamin A","Antioxidant, immunomodulating, hepatoprotective, anti-inflammatory, antimicrobial","Ayurvedic cooling tonic, liver support, digestive aid, fever management, skin health","Liver function support, immune enhancement, antioxidant therapy, skin conditions","Fruit (primary), leaves, bark","Fresh fruit 50-100g daily, or dried fruit powder 3-6g daily","Fresh fruit consumption, decoction of fruit, powder, juice","Paste, fruit poultice, leaf decoction wash","Edible sour fruit in curries, chutneys, pickles, traditional soups","Water extraction, 50% ethanol extraction, cold juice extraction",Very low; no toxicity recorded,None known; well-tolerated,Safe in pregnancy and lactation; traditionally used as nutritive tonic,May enhance anticoagulants; minimal interactions expected,"Common, IUCN: Not evaluated (widely cultivated, secure)"
2_6_ayapan,Alternanthera sessilis,Amaranthaceae,Alternanthera / sessilis,"Bengali: Ayapan, Jayanti; English: Sessile Joyweed; Hindi: Jal Brahmi, Punarnava variant","Narrowly elliptic, 1-3cm long, glabrous, opposite arrangement, sessile",Herb (prostrate spreading),Annual/Perennial,"Indian Subcontinent, Southeast Asia","Tropical wetlands, pond margins, marshes, disturbed areas","India, Bangladesh, pantropical distribution, widespread as weed","Moist loamy soil, adaptable to wet conditions","Tropical, 20-30°C, high humidity, 1000-2500mm rainfall, moisture-loving","Alkaloids, saponins, phenols","Flavonoids, tannins, glycosides",Trace amounts,"Calcium, iron, phosphorus, potassium, vitamins","Diuretic, anthelmintic, anti-inflammatory, cooling, digestive support","Ayurvedic cooling herb, urinary support, fever reduction, liver support","Urinary tract health, digestive support, traditional wetland remedy",Whole aerial plant,"4-6g dried herb, fresh juice 15-30ml daily","Decoction, fresh juice, powder, infusion","Paste, poultice, topical application","Edible leaf in soups, curries, traditional water-based dishes","Aqueous extraction, fresh juice extraction, 50% ethanol extraction",Very low; well-tolerated,"Pregnancy (diuretic effects), electrolyte imbalances",Avoid in pregnancy; minimal use in lactation,May enhance diuretics; caution with potassium-affecting drugs,"Common, IUCN: Not evaluated (abundant, weedy distribution)"
2_7_akondo,Calotropis procera,Apocynaceae,Calotropis / procera,"Bengali: Akondo, Akanda; English: Giant Milkweed, Rubber Plant; Hindi: Aak, Madar","Oblong-lanceolate, 6-12cm long, pubescent, waxy coating, opposite arrangement",Shrub/Small tree,Perennial,"Tropical Africa, Arabian Peninsula, Indian Subcontinent","Semi-arid regions, dry grasslands, waste areas, xerophytic habitats","Africa, Middle East, India, Bangladesh, pan-tropical","Well-drained sandy soil, poor soil tolerance","Tropical-subtropical, 15-40°C, drought resistant, 400-1200mm rainfall","Cardenolides (cardiac glycosides), cardiac aglycones, alkaloids","Triterpenes, phenols, flavonoids, saponins",Aromatic compounds in latex,Limited nutritional value; medicinal compounds predominant,"Anti-inflammatory, analgesic, antimicrobial, laxative (caution), skin treatment","Unani pain relief, traditional skin ulcer treatment, Ayurvedic wound care","Topical inflammation treatment, traditional dermatological uses","Leaves, latex, roots (all parts toxic)",External use only recommended; internal use highly restricted (0.5-1g leaf powder max),"Minimal internal use; topical paste/oil preferred, restricted decoction","Latex paste, herbal oil, leaf poultice, topical application",None; toxic for consumption,"Oil extraction, alcoholic extraction (external use only)",HIGH - Cardiac glycosides; LD50 variable; external use safer than internal,"Pregnancy AVOID, lactation AVOID, cardiac disease, internal use generally contraindicated",ABSOLUTELY CONTRAINDICATED in pregnancy; cardiotoxic potential,"SERIOUS: Interaction with cardiac drugs, anticoagulants - AVOID if on heart medications","Common, IUCN: Not evaluated (widespread, hardy species)"
2_8_bamonhati,Desmodium triflorum,Fabaceae,Desmodium / triflorum,"Bengali: Bamonhati, Shamik; English: Three-flowered Tickclover; Hindi: Shamik","Trifoliate, leaflets 1-2cm, obovate, glabrous, opposite arrangement",Herb (trailing),Perennial,"Tropical Asia, Indian Subcontinent","Tropical grasslands, forest edges, disturbed areas, cultivated fields","India, Bangladesh, Southeast Asia, pantropical distribution","Well-drained sandy loam, adaptable soil","Tropical, 20-30°C, moderate rainfall (800-2000mm)","Alkaloids, saponins, phenols, tannins","Flavonoids, glycosides, terpenoids",Trace amounts,"Protein (legume family), minerals, vitamins","Anti-inflammatory, antimicrobial, anthelmintic, respiratory support","Ayurvedic respiratory tonic, cough relief, asthma support, fever management","Respiratory health support, traditional asthma therapy",Whole aerial plant,"3-6g dried herb daily, decoction or powder","Decoction, powder, infusion","Paste, poultice, topical application",Minimal culinary use; occasional addition to medicinal herbal preparations,"Aqueous decoction, 50% ethanol extraction",Low; well-tolerated,None significant; safe herb,Generally safe in both pregnancy and lactation,Minimal interactions expected,"Common, IUCN: Not evaluated (abundant, widely distributed)"
3_9_kalodhutra,Amaranthus spinosus,Amaranthaceae,Amaranthus / spinosus,"Bengali: Kalodhutra, Kanto Nota; English: Spiny Amaranth; Hindi: Kanta Nota","Broadly lanceolate, 3-7cm, glabrous, alternate arrangement, spines at leaf axils",Herb,Annual,"Tropical Americas, now pan-tropical","Open grasslands, disturbed areas, cultivated fields, waste areas","Pantropical, invasive in many regions, common in Bangladesh and India","Well-drained soil, adaptable to poor soils","Tropical-subtropical, 20-35°C, moderate rainfall (600-2000mm)","Saponins, alkaloids, flavonoids","Tannins, phenols, glycosides, triterpenes",Minimal essential oils,"High protein, calcium, iron, phosphorus, vitamin A, beta-carotene","Anthelmintic, anti-inflammatory, cooling, diuretic, nutritive","Ayurvedic cooling tonic, digestive aid, urinary support, fever management","Nutritional support, traditional digestive and parasitic management",Whole aerial plant (leaves preferred),"Fresh leaves 50-100g, dried 3-6g daily","Decoction, fresh juice, powder, cooked as vegetable","Paste, poultice, topical application","Edible vegetable in curries, soups, stir-fries (young leaves tender)","Aqueous extraction, fresh juice extraction, 50% ethanol",Very low; food-grade plant,None significant; well-tolerated,Safe; nutritive during pregnancy and lactation,Minimal; excellent food herb,"Common, IUCN: Not evaluated (invasive in many regions)"
3_10_tarulata,Scoparia dulcis,Plantaginaceae,Scoparia / dulcis,"Bengali: Tarulata; English: Sweet Broom; Hindi: Jalabruhi, Kaariyanchi","Small, linear-lanceolate, 0.5-2cm, glabrous, whorled arrangement, margin entire",Herb (compact shrub),Annual/Perennial,"Tropical America, now pan-tropical","Tropical grasslands, disturbed areas, cultivated fields, roadside","Pan-tropical, invasive in many regions, common in Bangladesh","Well-drained soil, adaptable","Tropical, 20-32°C, moderate rainfall (800-1800mm)","Alkaloids, triterpenes, phenols","Flavonoids, tannins, glycosides",Minimal; aromatic compound scoparone reported,"Minerals, vitamins, chlorophyll","Antimicrobial, anti-inflammatory, anthelmintic, diuretic, cooling","Traditional fever remedy, urinary support, skin conditions, digestive aid","Antimicrobial support, traditional diuretic therapy",Whole aerial plant,"4-6g dried herb daily, fresh juice 15-30ml","Decoction, fresh juice, powder, infusion","Paste, poultice, topical wash",Minimal; occasionally in herbal teas,"Aqueous decoction, fresh juice extraction, 50% ethanol",Very low; well-tolerated,None significant,Generally safe; minimal traditional restrictions,Minimal interactions expected,"Common, IUCN: Not evaluated (invasive in many regions)"
